,citizen_id,first_name,last_name,age,annual_income,spending_score
0,2617270,Thomas,Rodriguez,20,32.11220429883221,49
1,2610860,William,White,24,431.54978550708444,9
2,2615390,Thomas,Davis,58,773.5664883786297,36
3,2615191,Joseph,Williams,54,503.7894579563624,23
4,2615734,Michael,Johnson,53,639.4590861399947,79
5,2616265,Lisa,Smith,20,639.741465720317,57
6,2610466,Daniel,Lopez,30,671.0193024834269,50
7,2614426,Charles,Perez,58,387.5961945685754,59
8,2615578,John,Gonzalez,47,370.004839056845,7
9,2618322,James,Martinez,40,4.584531345275256,47
10,2611685,Patricia,Taylor,24,154.2224605289211,89
11,2610769,Karen,Hernandez,47,950.8102127815516,87
12,2616949,Linda,Jones,46,842.4167157882098,75
13,2612433,Charles,Rodriguez,25,275.108437389903,56
14,2615311,Daniel,Gonzalez,27,401.19194892578327,8
15,2615051,Daniel,Martin,50,939.921323384633,36
16,2616420,Jennifer,Thompson,37,250.4444795535772,42
17,2611184,James,Hernandez,46,532.5329692889298,39
18,2614555,Linda,Thompson,46,22.07978405540456,65
19,2613385,James,Brown,38,619.7348363528066,44
20,2616396,Charles,Lee,18,930.073598174395,77
21,2618666,David,Hernandez,68,884.7433848400223,80
22,2619274,Christopher,Rodriguez,51,501.9692206275332,46
23,2612558,Margaret,Miller,61,649.6419722771659,13
24,2617849,Joseph,Thomas,49,569.7981940132854,37
25,2612047,Daniel,Thompson,62,66.97424415417552,14
26,2612747,David,Thompson,31,158.72348687674588,13
27,2619167,Charles,Jones,54,963.8173147697597,12
28,2619998,Christopher,Garcia,52,255.96869687167322,55
29,2610189,Elizabeth,Jackson,41,384.44921609639937,28
30,2612734,Margaret,Smith,66,508.94430795450717,22
31,2613005,Susan,Thomas,18,979.1321293933415,84
32,2614658,James,Moore,63,689.9935062297765,19
33,2611899,Margaret,White,23,629.5984977303652,75
34,2617734,Michael,Gonzalez,66,524.3999724408593,30
35,2611267,Thomas,Smith,21,700.6744145945571,54
36,2611528,Elizabeth,Martinez,55,664.0158905283466,90
37,2613556,Jennifer,Miller,18,902.8408922609821,15
38,2613890,Thomas,Jones,58,541.8353053646226,30
39,2618838,Karen,Gonzalez,48,421.5025881904898,29
40,2615393,Robert,Perez,53,807.1620280638713,32
41,2618792,Karen,Thomas,26,799.7833346868184,30
42,2618433,Thomas,White,58,169.83643801208748,16
43,2617513,Lisa,Martin,62,236.79199785645565,36
44,2612612,Sarah,Perez,40,958.6382612997057,82
45,2617041,Linda,Wilson,48,444.10953838238476,48
46,2619555,Margaret,Hernandez,46,519.6606965311896,28
47,2616235,Richard,Jackson,66,310.1601245798098,62
48,2615486,Margaret,Thompson,38,481.0710228973535,83
49,2617099,Sarah,Johnson,20,743.3566071956559,56
50,2619670,David,Davis,43,482.34509746367524,56
51,2610775,Jennifer,Gonzalez,23,314.7846799586652,75
52,2618226,John,Miller,37,96.00100439437654,17
53,2613152,James,Lopez,64,928.2615205375911,62
54,2611585,Karen,Davis,63,871.6578228018956,21
55,2613943,Robert,Thomas,30,791.3649433497222,37
56,2617555,Richard,Moore,58,694.0709638425651,34
57,2613073,Elizabeth,Jackson,40,515.5098844505834,97
58,2611021,Robert,Brown,32,897.3967861224503,29
59,2613843,Jessica,Lopez,63,791.7015127970499,68
60,2617989,Thomas,Thomas,48,816.0108418244625,96
61,2619692,James,Lee,21,309.5504729994665,60
62,2616873,Mary,Perez,28,423.4582734023983,11
63,2615675,Michael,Taylor,19,706.8022641232585,90
64,2610161,Elizabeth,Brown,33,371.0623032077538,82
65,2614297,Nancy,Martin,68,493.97465327548093,96
66,2610995,Michael,White,48,646.5129677051234,60
67,2617629,Margaret,White,65,437.75840158428105,91
68,2619467,Sarah,Perez,56,793.0396071628899,80
69,2611016,Robert,White,60,116.27883888451495,74
70,2617869,Susan,Rodriguez,61,718.0565097820173,34
71,2616439,Thomas,Jones,21,145.21006061127795,33
72,2617892,Sarah,Taylor,65,937.839654928526,10
73,2616863,Nancy,Taylor,45,314.03768069495874,60
74,2617916,Sarah,Johnson,33,795.4323610394712,26
75,2618529,Charles,Johnson,56,521.4169781086761,25
76,2610878,Joseph,Lee,42,91.08706658787413,2
77,2619268,Susan,Thompson,30,582.5868543910996,90
78,2614887,Christopher,Miller,22,912.1777368825699,84
79,2614859,Elizabeth,Brown,47,157.23440443790392,3
80,2616331,Lisa,Gonzalez,18,321.3069493608317,32
81,2618571,Mary,Martin,22,439.1586709577402,1
82,2618684,Michael,Hernandez,31,275.0530633406537,24
83,2617208,Richard,Williams,28,943.7794747363611,50
84,2615276,John,Johnson,51,377.50026480846554,43
85,2612062,Joseph,Thomas,46,658.0620584856787,44
86,2610064,James,Williams,35,223.91676437006592,33
87,2618006,John,White,32,219.70593748164825,38
88,2612568,Elizabeth,Anderson,63,175.84933560393912,52
89,2615463,Joseph,Taylor,42,434.8122635267233,35
90,2612027,Lisa,Thomas,47,532.858202290054,17
91,2612695,Jennifer,Martin,62,10.748165751581773,58
92,2619687,Nancy,Miller,19,832.9234276131145,48
93,2615258,Joseph,Thomas,68,512.7538925310988,43
94,2615618,Margaret,Jones,57,157.20992341643202,48
95,2616736,Christopher,Johnson,44,67.29331250298875,44
96,2610391,Michael,Smith,66,63.19929712932804,33
97,2615892,Christopher,Perez,32,257.643486858529,75
98,2613561,Robert,Gonzalez,49,499.2921479709789,87
99,2616184,Patricia,Thomas,37,860.2395360029984,96
100,2613099,Lisa,Jones,31,902.9654268909036,83
101,2616278,Karen,Williams,44,832.3279199794039,76
102,2618392,John,Anderson,20,328.56346812072366,92
103,2613104,Thomas,Thomas,66,306.55775170609934,2
104,2617215,Karen,Hernandez,20,987.4583451549977,10
105,2612454,Karen,Jackson,30,681.2806299874588,83
106,2618996,Margaret,Moore,42,304.95194125754176,28
107,2612731,Margaret,Lee,35,329.08015232480346,47
108,2618154,Mary,Rodriguez,18,434.64443931069695,8
109,2619762,Richard,Davis,56,621.8066978248374,23
110,2615056,Lisa,Perez,22,897.9791599716789,48
111,2618110,Joseph,Jackson,19,198.30711969640925,94
